team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,attendance_per_g,top_team_scorers,top_keeper,notes,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Crystal Palace,38,11,12,15,40,49,-9,45,1.18,39.3,48.1,-8.8,-0.23,"24,952",Eberechi Eze - 10,Vicente Guaita,,26,26.7,46.3,38,418,"3,420",38.0,38,29,67,37,1,3,82,3,39.3,36.8,29.0,65.8,556,1243,1.00,0.76,1.76,0.97,1.74,1.03,0.76,1.80,0.97,1.73,3,38,38,"3,420",38.0,49,1.29,160,114,71.9,11,12,15,9,23.7,4,4,0,0,0.0,3,38.0,49,4,0,8,3,44.7,0.26,-1.3,-0.03,153,446,34.3,936,189,33.4,32.3,267,49.8,38.3,539,29,5.4,40,1.05,13.1,26,38.0,38,423,133,31.4,11.13,3.50,0.09,0.28,17.6,23,1,3,39.3,36.8,0.09,-1.3,+0.2,26,38.0,13395,17308,77.4,238779,88389,6005,6901,87.0,5794,6772,85.6,1309,2751,47.6,29,29.0,23.8,0.0,316,1013,239,51,1243,26,38.0,17308,15416,1834,525,41,118,591,763,186,84,60,5,13395,58,350,26,38.0,746,19.63,497,67,56,49,59,18,67,1.76,43,6,6,6,4,2,26,38.0,690,421,354,246,90,281,532,52.8,251,463,119,344,359,1049,807,5,26,46.3,38.0,21713,2580,7668,9275,4991,766,21710,784,367,46.8,314,40.1,11687,60301,30015,556,393,206,643,457,13304,1238,26,26.7,38,"3,420",90,100,38.0,418,84,277,138,17,204,1.18,40,49,-9,-0.24,39.3,48.1,-8.8,-0.23,26,38.0,82,3,2,446,479,58,591,359,421,2,4,3,2093,496,578,46.2
Chelsea,38,11,11,16,38,47,-9,44,1.16,49.5,52.5,-3.0,-0.08,"40,002",Kai Havertz - 7,Kepa Arrizabalaga,,32,26.3,58.7,38,418,"3,420",38.0,37,27,64,34,3,3,81,3,49.5,47.2,38.6,85.8,829,1737,0.97,0.71,1.68,0.89,1.61,1.30,1.02,2.32,1.24,2.26,2,38,38,"3,420",38.0,47,1.24,159,115,71.1,11,11,16,10,26.3,1,1,0,0,0.0,2,38.0,47,1,1,8,3,47.0,0.30,+3.0,+0.08,95,290,32.8,1090,198,18.2,27.6,245,37.6,32.3,460,24,5.2,63,1.66,13.7,32,38.0,37,481,151,31.4,12.66,3.97,0.07,0.23,16.8,10,3,3,49.5,47.2,0.10,-12.5,-13.2,32,38.0,19147,22836,83.8,316440,104718,9510,10494,90.6,7700,8709,88.4,1461,2499,58.5,27,38.6,35.3,-11.6,376,1426,370,68,1737,32,38.0,22836,20995,1767,503,58,129,693,722,209,108,70,2,19147,74,371,32,38.0,859,22.61,667,66,42,42,31,11,68,1.79,57,3,2,2,4,0,32,38.0,740,445,363,267,110,333,654,50.9,321,466,108,358,341,1081,661,20,32,58.7,38.0,27166,2564,8461,12056,6850,958,27163,833,375,45.0,352,42.3,16537,83505,43593,829,622,216,568,381,19065,1729,32,26.3,38,"3,420",90,100,38.0,418,81,243,173,22,169,1.16,38,47,-9,-0.24,49.5,52.5,-3.0,-0.08,32,38.0,81,3,2,397,462,74,693,341,445,3,1,3,2024,493,453,52.1
Wolves,38,11,8,19,31,58,-27,41,1.08,36.8,59.9,-23.1,-0.61,"31,482","Rúben Neves, Daniel Podence - 6",José Sá,,32,26.7,49.9,38,418,"3,420",38.0,28,12,40,25,3,3,85,6,36.8,34.5,25.4,59.9,610,1343,0.74,0.32,1.05,0.66,0.97,0.97,0.67,1.64,0.91,1.58,2,38,38,"3,420",38.0,58,1.53,174,115,67.8,11,8,19,11,28.9,4,2,2,0,50.0,2,38.0,58,2,0,6,1,52.2,0.28,-4.8,-0.13,130,464,28.0,992,196,29.8,32.9,283,59.4,45.1,577,48,8.3,29,0.76,8.3,32,38.0,28,409,119,29.1,10.76,3.13,0.06,0.21,18.0,18,3,3,36.8,34.5,0.09,-8.8,-9.5,32,38.0,14554,18294,79.6,264071,87310,6350,7195,88.3,6306,7257,86.9,1574,2890,54.5,12,25.4,21.0,-13.4,294,1110,252,71,1343,32,38.0,18294,16575,1657,430,49,149,661,663,185,61,86,2,14554,62,355,32,38.0,713,18.76,521,62,30,47,42,11,44,1.16,32,1,3,6,1,1,32,38.0,661,370,364,222,75,286,609,47.0,323,497,175,322,279,940,817,18,32,49.9,38.0,22539,2921,8544,9262,4960,686,22536,772,375,48.6,302,39.1,12373,67215,35065,610,421,142,516,327,14452,1331,32,26.7,38,"3,420",90,100,38.0,418,80,248,165,24,175,1.08,31,58,-27,-0.71,36.8,59.9,-23.1,-0.61,32,38.0,85,6,1,463,389,62,661,279,370,1,4,1,2052,465,542,46.2
West Ham,38,11,7,20,42,55,-13,40,1.05,49.2,53.0,-3.9,-0.10,"62,462","Saïd Benrahma, Jarrod Bowen - 6",Łukasz Fabiański,,25,28.2,42.1,38,418,"3,420",38.0,41,25,66,35,6,8,44,0,49.2,43.7,32.7,76.4,614,1274,1.08,0.66,1.74,0.92,1.58,1.29,0.86,2.15,1.15,2.01,2,38,38,"3,420",38.0,55,1.45,170,115,70.0,11,7,20,9,23.7,6,4,1,1,20.0,2,38.0,55,4,0,4,1,53.2,0.29,-0.8,-0.02,212,553,38.3,738,167,53.0,33.4,279,58.1,43.5,560,31,5.5,26,0.68,10.3,25,38.0,41,466,133,28.5,12.26,3.50,0.08,0.26,17.3,13,6,8,49.2,43.7,0.10,-8.2,-8.7,25,38.0,12369,16357,75.6,219013,84296,5883,6778,86.8,4784,5831,82.0,1383,2753,50.2,25,32.7,26.8,-7.7,340,990,212,80,1274,25,38.0,16357,14625,1670,347,41,162,768,722,206,129,57,1,12369,62,390,25,38.0,817,21.50,586,81,39,61,35,15,67,1.76,41,6,5,9,6,0,25,38.0,607,335,289,226,92,269,558,48.2,289,415,139,276,408,1015,810,10,25,42.1,38.0,20411,2362,6898,8702,4994,756,20403,607,242,39.9,266,43.8,10539,57433,28201,614,413,165,460,355,12256,1266,25,28.2,38,"3,420",90,100,38.0,418,84,286,132,20,204,1.05,42,55,-13,-0.34,49.2,53.0,-3.9,-0.10,25,38.0,44,0,0,362,316,62,768,408,335,6,6,1,2023,620,587,51.4
Bournemouth,38,11,6,21,37,71,-34,39,1.03,38.6,63.9,-25.3,-0.67,"10,362",Philip Billing - 7,Neto,,31,26.3,40.4,38,418,"3,420",38.0,37,24,61,37,0,0,68,0,38.6,38.6,28.5,67.1,504,1006,0.97,0.63,1.61,0.97,1.61,1.02,0.75,1.76,1.02,1.76,2,38,38,"3,420",38.0,71,1.87,204,136,68.1,11,6,21,8,21.1,7,6,0,1,0.0,2,38.0,71,6,0,16,3,63.6,0.29,-4.4,-0.11,231,591,39.1,851,190,43.9,31.9,349,62.2,44.3,739,40,5.4,30,0.79,10.5,31,38.0,37,358,126,35.2,9.42,3.32,0.10,0.29,15.5,14,0,0,38.6,38.6,0.11,-1.6,-1.6,31,38.0,11715,15381,76.2,206704,82672,5412,6278,86.2,4751,5644,84.2,1192,2491,47.9,24,28.5,26.3,-4.5,261,850,237,75,1006,31,38.0,15381,13607,1736,424,48,87,509,706,144,88,25,9,11715,38,342,31,38.0,616,16.21,445,45,52,43,24,7,64,1.68,44,5,4,8,2,1,31,38.0,618,371,316,249,53,256,606,42.2,350,499,170,329,353,971,1027,10,31,40.4,38.0,19950,2934,8004,7933,4256,699,19950,735,321,43.7,344,46.8,10336,55322,27419,504,388,144,589,367,11617,986,31,26.3,38,"3,420",90,100,38.0,418,84,279,141,19,201,1.03,37,71,-34,-0.89,38.6,63.9,-25.3,-0.67,31,38.0,68,0,0,391,365,38,509,353,371,0,7,3,1942,521,539,49.2
Nott'ham Forest,38,9,11,18,38,68,-30,38,1.00,39.3,64.2,-24.9,-0.66,"29,188",Taiwo Awoniyi - 10,Dean Henderson,,33,26.5,37.6,38,418,"3,420",38.0,36,22,58,33,3,6,84,0,39.3,34.6,26.3,61.0,435,859,0.95,0.58,1.53,0.87,1.45,1.03,0.69,1.73,0.91,1.60,3,38,38,"3,420",38.0,68,1.79,182,112,65.9,9,11,18,8,21.1,9,6,2,1,25.0,3,38.0,68,6,2,9,0,60.1,0.30,-7.9,-0.21,237,712,33.3,963,185,51.3,43.2,332,65.7,47.3,621,35,5.6,38,1.00,17.0,33,38.0,36,362,111,30.7,9.53,2.92,0.09,0.30,17.2,9,3,6,39.3,34.6,0.10,-3.3,-1.6,33,38.0,9543,13606,70.1,177315,72656,4046,4952,81.7,4071,5126,79.4,1187,2708,43.8,22,26.3,20.5,-4.3,246,660,172,50,859,33,38.0,13606,11801,1738,446,31,66,530,720,128,65,53,1,9543,67,313,33,38.0,593,15.61,416,59,31,38,36,13,54,1.42,31,5,4,11,3,0,33,38.0,659,387,380,201,78,296,584,50.7,288,500,156,344,349,1008,944,6,33,37.6,38.0,17912,2715,7420,6953,3755,611,17906,569,254,44.6,235,41.3,8674,46411,24008,435,308,111,537,275,9452,847,33,26.5,38,"3,420",90,100,38.0,418,82,261,159,21,183,1.00,38,68,-30,-0.79,39.3,64.2,-24.9,-0.66,33,38.0,84,0,0,445,390,67,530,349,387,3,9,0,1902,560,600,48.3
Everton,38,8,12,18,34,57,-23,36,0.95,45.2,65.7,-20.5,-0.54,"39,243",Dwight McNeil - 7,Jordan Pickford,,28,26.6,42.8,38,418,"3,420",38.0,32,24,56,29,3,3,81,2,45.2,42.8,32.4,75.1,500,1052,0.84,0.63,1.47,0.76,1.39,1.19,0.85,2.04,1.13,1.98,2,38,38,"3,420",38.0,57,1.50,185,127,71.9,8,12,18,9,23.7,6,5,1,0,16.7,2,38.0,57,5,2,4,0,60.4,0.30,+3.4,+0.09,274,814,33.7,1014,156,57.6,34.9,323,71.2,52.6,589,23,3.9,52,1.37,5.0,28,38.0,32,426,143,33.6,11.21,3.76,0.07,0.20,16.8,12,3,3,45.2,42.8,0.10,-13.2,-13.8,28,38.0,11790,15783,74.7,214056,82478,5336,6174,86.4,4771,5750,83.0,1366,2947,46.4,24,32.4,26.9,-8.4,308,964,224,67,1052,28,38.0,15783,13984,1735,434,39,93,704,707,174,138,28,0,11790,64,311,28,38.0,735,19.34,495,84,37,54,45,20,59,1.55,41,5,5,2,4,2,28,38.0,708,424,362,257,89,309,611,50.6,302,510,180,330,390,1098,874,17,28,42.8,38.0,20233,2527,7219,8417,4830,742,20229,669,305,45.6,296,44.2,10479,56737,27858,500,391,137,605,300,11708,1042,28,26.6,38,"3,420",90,100,38.0,418,84,300,116,20,225,0.95,34,57,-23,-0.61,45.2,65.7,-20.5,-0.54,28,38.0,81,2,1,396,382,64,704,390,424,3,6,0,2049,582,613,48.7
Leicester City,38,9,7,22,51,68,-17,34,0.89,50.6,63.4,-12.8,-0.34,"31,887",Harvey Barnes - 13,Danny Ward,Relegated,28,26.1,47.7,38,418,"3,420",38.0,49,36,85,46,3,6,63,2,50.6,45.8,38.5,84.2,580,1304,1.29,0.95,2.24,1.21,2.16,1.33,1.01,2.34,1.20,2.22,2,38,38,"3,420",38.0,68,1.79,178,113,64.0,9,7,22,7,18.4,5,4,1,0,20.0,2,38.0,68,4,4,8,5,55.4,0.29,-7.6,-0.20,132,497,26.6,1011,203,34.2,37.2,304,49.7,39.3,558,36,6.5,48,1.26,10.3,28,38.0,49,412,142,34.5,10.84,3.74,0.11,0.32,17.7,14,3,6,50.6,45.8,0.11,-1.6,+0.2,28,38.0,14887,18871,78.9,249219,89055,7245,8221,88.1,6087,7165,85.0,1165,2422,48.1,36,38.5,26.3,-2.5,319,1142,220,52,1304,28,38.0,18871,17049,1739,464,76,93,496,724,135,70,41,6,14887,83,393,28,38.0,744,19.58,540,52,50,50,38,14,87,2.29,59,2,8,8,7,3,28,38.0,700,412,345,292,63,308,669,46.0,361,517,170,347,367,1067,777,11,28,47.7,38.0,23125,2681,8408,10293,4641,688,23119,620,291,46.9,245,39.5,12503,63356,31619,580,363,175,548,313,14797,1294,28,26.1,38,"3,420",90,100,38.0,418,82,278,138,23,203,0.89,51,68,-17,-0.45,50.6,63.4,-12.8,-0.34,28,38.0,63,2,2,410,397,83,496,367,412,5,5,5,2013,512,558,47.9
Leeds United,38,7,10,21,48,78,-30,31,0.82,47.4,67.2,-19.8,-0.52,"36,566",Rodrigo - 13,Illan Meslier,Relegated,29,25.3,47.0,38,418,"3,420",38.0,45,31,76,44,1,3,89,3,47.4,45.0,31.9,76.9,555,1429,1.18,0.82,2.00,1.16,1.97,1.25,0.84,2.09,1.18,2.02,2,38,38,"3,420",38.0,78,2.05,185,108,60.5,7,10,21,5,13.2,6,5,0,1,0.0,2,38.0,78,5,1,7,1,64.1,0.32,-12.9,-0.34,124,520,23.8,884,214,40.7,41.1,274,58.4,44.2,475,36,7.6,69,1.82,11.6,29,38.0,45,459,141,30.7,12.08,3.71,0.10,0.31,16.6,19,1,3,47.4,45.0,0.10,-2.4,-1.0,29,38.0,12437,16924,73.5,206567,84295,6115,7225,84.6,4782,5973,80.1,1072,2528,42.4,31,31.9,27.3,-0.9,337,1086,270,70,1429,29,38.0,16924,14953,1911,484,41,87,653,837,199,93,68,4,12437,60,414,29,38.0,783,20.61,535,99,32,54,48,15,69,1.82,43,7,4,9,3,3,29,38.0,840,480,376,343,121,412,863,47.7,451,536,131,405,392,1232,734,18,29,47.0,38.0,21642,2125,6971,9290,5587,796,21639,688,268,39.0,328,47.7,11342,55021,27062,555,379,146,602,421,12329,1418,29,25.3,38,"3,420",90,100,38.0,418,82,260,157,21,185,0.82,48,78,-30,-0.79,47.4,67.2,-19.8,-0.52,29,38.0,89,3,2,467,405,60,653,392,480,2,6,1,2206,586,607,49.1
Southampton,38,6,7,25,36,73,-37,25,0.66,37.7,61.0,-23.3,-0.61,"30,440",James Ward-Prowse - 9,Gavin Bazunu,Relegated,36,24.7,44.5,38,418,"3,420",38.0,36,25,61,34,2,4,73,0,37.7,34.5,28.2,62.7,588,1125,0.95,0.66,1.61,0.89,1.55,0.99,0.74,1.73,0.91,1.65,2,38,38,"3,420",38.0,73,1.92,150,81,52.7,6,7,25,4,10.5,3,2,1,0,33.3,2,38.0,73,2,1,8,5,46.3,0.29,-21.7,-0.57,234,742,31.5,1129,173,49.9,36.5,289,61.9,46.6,548,42,7.7,55,1.45,13.5,36,38.0,36,413,132,32.0,10.87,3.47,0.08,0.26,18.1,17,2,4,37.7,34.5,0.09,-1.7,-0.5,36,38.0,12319,16391,75.2,211636,79814,5972,6925,86.2,4830,5823,82.9,1170,2625,44.6,25,28.2,26.0,-3.2,302,938,239,71,1125,36,38.0,16391,14585,1749,426,38,87,613,752,157,63,65,2,12319,57,375,36,38.0,718,18.89,493,77,46,51,38,13,61,1.61,35,5,7,5,6,3,36,38.0,713,426,377,279,57,297,609,48.8,312,542,165,377,428,1141,852,10,36,44.5,38.0,21095,2639,7452,8998,4880,712,21091,756,358,47.4,318,42.1,11323,61000,29819,588,453,131,567,400,12216,1112,36,24.7,38,"3,420",90,100,38.0,418,81,243,175,22,167,0.66,36,73,-37,-0.97,37.7,61.0,-23.3,-0.61,36,38.0,73,0,0,430,378,57,613,428,426,3,3,5,2130,551,611,47.4
